p1,8876,0.249,9038,0.461
p2,7920,0.235,8010,0.456
p3,9314,0.253,10010,0.42
p4,11121,0.242,11975,0.365
p5,8838,0.226,9503,0.385
p6,7855,0.233,8143,0.309
p7,9699,0.232,10099,0.412
p8,11436,0.236,12189,0.381
p9,8561,0.266,9040,0.537
p10,7704,0.259,7726,0.566
p11,9027,0.293,9726,0.575
p12,10826,0.285,10905,0.546
p13,8252,0.631,8762,1.326
p14,7219,0.644,7215,1.313
p15,9317,0.645,9635,1.328
p16,11482,0.655,12106,1.454
p17,8930,0.648,9129,1.433
p18,7125,0.66,7125,1.277
p19,9295,0.639,9790,1.354
p20,11573,0.65,11060,1.259
p21,8169,0.678,8919,1.491
p22,7389,0.669,7933,1.479
p23,9502,0.68,10129,1.514
p24,10756,0.671,11836,1.505
p25,13004,5.021,13259,12.4
p26,11306,3.601,13455,7.986
p27,13506,3.644,15037,7.832
p28,15706,3.632,18308,7.662
p29,13575,3.514,15723,7.518
p30,11889,3.562,12717,7.443
p31,14102,3.535,16413,7.442
p32,16395,3.536,21400,7.456
p33,12796,3.647,15126,7.846
p34,11285,3.617,11822,7.843
p35,13650,3.833,16420,9.08
p36,15004,4.011,16439,8.198
p37,12200,3.709,15126,8.94
p38,11149,4.006,12767,8.751
p39,12984,4.135,13931,8.478
p40,14984,3.75,19983,8.32
p41,7098,0.511,7112,0.939
p42,7080,1.138,8092,2.245
p43,6656,1.628,9123,3.935
p44,7133,0.504,7234,0.771
p45,7127,1.59,8251,3.959
p46,6864,1.626,8347,3.63
p47,6249,0.448,6555,0.727
p48,6189,1.52,8149,3.348
p49,7082,1.75,8058,3.653
p50,9239,0.515,9663,0.867
p51,8178,1.37,9686,2.884
p52,9369,0.507,10477,0.741
p53,9711,1.293,10848,2.655
p54,9273,0.501,9562,0.694
p55,8143,1.321,9540,2.833
p56,22746,4.66,23560,10.443
p57,29993,4.624,32882,10.414
p58,45117,4.696,53882,10.579
p59,35557,4.703,39121,10.239
p60,23532,4.84,23882,10.784
p61,30068,5.024,32260,11.114
p62,45490,4.854,52560,11.059
p63,32775,4.726,37423,10.955
p64,23114,4.857,23458,10.602
p65,30210,4.796,31799,10.851
p66,43632,4.815,52560,10.835
p67,34688,5.125,39671,10.509
p68,22810,5.108,23630,10.614
p69,30396,4.825,32260,10.701
p70,44716,4.963,52560,11.388
p71,34913,4.79,39232,10.586
